wmo_id;name;lat;lon;alt;country_alpha2;name_rus;name_eng;additional_name
23032;Марресаля;69.71;66.81;24;RU;Марресаля;Maresale;Маресале
23045;Яптиксале;69.4;72.3;15;RU;Яптиксале;;Яптиксале
23058;Антипаюта;69.1;76.85;2;RU;Антипаюта;Antipayuta;Антипаюта
23074;Дудинка;69.4;86.16;14;RU;Дудинка;Dudinka;Дудинка
23078;Норильск;69.34;88.26;60;RU;Норильск;Norilsk;Норильск Алыкель
23103;Ходовариха;68.93;53.76;9;RU;Ходовариха;Khodovarikha;Ходовариха
23104;Сенгейский Шар;68.35;50.78;4;RU;Сенгейский Шар;Sengeysky shar;Сенгейский Шар
23105;Тобседа;65.6;52.3;7;RU;Тобседа;;Тобседа
23109;Мыс Болванский;68.3;54.5;26;RU;Мыс Болванский;Mys Bolvansky;Мыс Болванский
23112;Варандей;68.8;57.98;4;RU;Варандей;Varandey;Варандей
23114;Мыс Константиновский;68.54;55.49;4;RU;Мыс Константиновский;Mys konstantinovsky;Мыс Шведский
23133;Усть-Юрибей;68.8;69.9;16;RU;Усть-Юрибей;;Усть-Юрибей
23139;Яронго;68.2;69.4;6;RU;Яронго;;Яронго
23146;Мыс Каменный;68.46;73.58;8;RU;Мыс Каменный;Mys Kamenny;Мыс Каменный
23174;Потапово;68.66;86.25;38;RU;Потапово;Potapovo;Потапово
23205;Нарьян-Мар;67.62;53.01;5;RU;Нарьян-Мар;Narjan-Mar;Нарьян-Мар
23207;Коткино;67.02;51.14;17;RU;Коткино;Kotkino;Коткино
23214;Шапкино;67.6;55.15;101;RU;Шапкино;Shapkino;Лаято Лаке
23215;Хорей-Вер;67.43;58.01;72;RU;Хорей-Вер;Khorey-ver;Хорейвер
23219;Хоседа-Хард;67.04;59.41;82;RU;Хоседа-Хард;Hoseda-Hard;Хоседа-Хард
23220;Елецкая;67.05;64.06;115;RU;Елецкая;Eletskaya;Железнодорожный
23226;Воркута;67.49;63.97;172;RU;Воркута;Vorkuta;Воркута
23235;Лаборовая;67.7;67.6;80;RU;Лаборовая;;Лаборовая
23239;Щучье;67.3;68.7;40;RU;Щучье;;Щучье
23242;Новый Порт;67.68;72.88;10;RU;Новый Порт;Novy Port;Новый Порт
23256;Тазовский;67.46;78.73;26;RU;Тазовский;Tazovskij;Тазовское
23274;Игарка;67.46;86.56;28;RU;Игарка;Igarka;Игарка
23305;Окунев Нос;66.25;52.56;21;RU;Окунев Нос;Okunev Nos;Окунев Нос
23311;Мишвань;66.95;55.73;71;RU;Мишвань;Mishvan;Мишвань
23324;Петрунь;66.47;60.75;60;RU;Петрунь;Petrun;Петрунь
23327;Инта;66.03;60.11;58;RU;Инта;Inta;Инта АМСГ
23329;Салехард аэропорт;66.5;66.5;65;RU;Салехард аэропорт;;Салехард аэропорт
23330;Салехард;66.53;66.67;14;RU;Салехард;Salehard;Салехард город
23331;Ра-Из;66.9;65.66;890;RU;Ра-Из;Ra-Iz;Ра-Из
23332;Полярный Урал;67.01;65.08;178;RU;Полярный Урал;Polyarny Ural;Полярный Урал
23333;Салемал;66.75;69.15;33;RU;Салемал;Salemal;Ямбур
